#parcel name,container name,container type,container position,protein acronym,sample acronym
Dewar1,CPS-5474,Unipuck,1,HUMA,H10Fum_1
Dewar1,CPS-5474,Unipuck,2,HUMA,H10Fum_2
Dewar1,CPS-5474,Unipuck,3,HUMA,H11Succ_1
Dewar1,CPS-5474,Unipuck,4,HUMA,H11Succ_2
Dewar1,CPS-5474,Unipuck,5,HUMA,H11Succ_3
Dewar1,CPS-5474,Unipuck,6,HUMA,H11refold_1
Dewar1,CPS-5474,Unipuck,7,HUMA,H11refold_2
Dewar1,CPS-5474,Unipuck,8,HUMA,H11refold_3
Dewar1,CPS-5474,Unipuck,9,HUMA,H11refold_4
Dewar1,CPS-5474,Unipuck,10,HUMA,H11refold_5
Dewar1,CPS-5474,Unipuck,11,JAVI,J1295_1
Dewar1,CPS-5474,Unipuck,12,ANDRE,GPX4_1
Dewar1,CPS-5474,Unipuck,13,ANDRE,GPX4_2
Dewar1,CPS-5474,Unipuck,14,ANDRE,GPX4_3
Dewar1,CPS-5474,Unipuck,15,ANDRE,GPX4_4
Dewar1,CPS-5474,Unipuck,16,ANDRE,GPX4_5
Dewar1,CPS-5473,Unipuck,1,BW,Nsp_Q204K_1
Dewar1,CPS-5473,Unipuck,2,BW,Nsp_Q204K_2
Dewar1,CPS-5473,Unipuck,3,BW,Nsp_Q263K_1
Dewar1,CPS-5473,Unipuck,4,BW,Nsp_Q263K_2
Dewar1,CPS-5473,Unipuck,5,BW,Nsp_Q250K_1
Dewar1,CPS-5473,Unipuck,6,BW,Nsp_Q250K_2
Dewar1,CPS-5473,Unipuck,7,HUMA,H10Succ_1
Dewar1,CPS-5473,Unipuck,8,HUMA,H10Succ_2
Dewar1,CPS-5473,Unipuck,9,HUMA,H10Succ_3
Dewar1,CPS-5473,Unipuck,10,HUMA,H10Succ_4
Dewar1,CPS-5473,Unipuck,11,HUMA,H10Fum_3
Dewar1,CPS-5473,Unipuck,12,HUMA,H10Fum_4
Dewar1,CPS-5473,Unipuck,13,HUMA,H10Fum_5
Dewar1,CPS-5473,Unipuck,14,HUMA,H10Mal_1
Dewar1,CPS-5473,Unipuck,15,HUMA,H10Mal_2
Dewar1,CPS-5473,Unipuck,16,HUMA,H10Mal_3
Dewar1,CPS-5472,Unipuck,1,HUMA,H10_1
Dewar1,CPS-5472,Unipuck,2,HUMA,H10_2
Dewar1,CPS-5472,Unipuck,3,BW,ICCG_L50Y_1
Dewar1,CPS-5472,Unipuck,4,BW,ICCG_L50Y_2
Dewar1,CPS-5472,Unipuck,5,BW,ICCG_L50Y_3
Dewar1,CPS-5472,Unipuck,6,BW,ICCG_L50Y_4
Dewar1,CPS-5472,Unipuck,7,BW,ICCG_L50Y_5
Dewar1,CPS-5472,Unipuck,8,BW,ICCG_L50Y_6
Dewar1,CPS-5472,Unipuck,9,BW,ICCG_Y61E_1
Dewar1,CPS-5472,Unipuck,10,BW,ICCG_Y61E_2
Dewar1,CPS-5472,Unipuck,11,BW,ICCG_Y61E_3
Dewar1,CPS-5472,Unipuck,12,BW,ICCG_Y61E_4
Dewar1,CPS-5472,Unipuck,13,BW,Nsp_Q204K_3
Dewar1,CPS-5472,Unipuck,14,BW,Nsp_Q204K_4
Dewar1,CPS-5472,Unipuck,15,BW,Nsp_Q204K_5
Dewar1,CPS-5472,Unipuck,16,BW,Nsp_Q204K_6
Dewar1,CPS-5471,Unipuck,1,HUMA,H11_1
Dewar1,CPS-5471,Unipuck,2,HUMA,H11_2
Dewar1,CPS-5471,Unipuck,3,HUMA,H11_3
Dewar1,CPS-5471,Unipuck,4,HUMA,H11_4
